127.0.0.1 - - [07/May/2016:12:33:43 +0800] "GET / HTTP/1.1" 404 955
0:0:0:0:0:0:0:1 - - [07/May/2016:12:33:46 +0800] "GET /wishstack-web/ HTTP/1.1" 200 4149
0:0:0:0:0:0:0:1 - - [07/May/2016:12:33:46 +0800] "GET /wishstack-web/css/base.css?v=1462595626179 HTTP/1.1" 200 6072
0:0:0:0:0:0:0:1 - - [07/May/2016:12:33:46 +0800] "GET /wishstack-web/css/page.css?v=1462595626179 HTTP/1.1" 200 5554
0:0:0:0:0:0:0:1 - - [07/May/2016:12:33:46 +0800] "GET /wishstack-web/css/bootstrap.min.css?v=1462595626179 HTTP/1.1" 200 127334
0:0:0:0:0:0:0:1 - - [07/May/2016:12:33:46 +0800] "GET /wishstack-web/js/common/base.js?v=1462595626179 HTTP/1.1" 200 15845
0:0:0:0:0:0:0:1 - - [07/May/2016:12:33:46 +0800] "GET /wishstack-web/js/common/page.js?v=1462595626179 HTTP/1.1" 200 635
0:0:0:0:0:0:0:1 - - [07/May/2016:12:33:46 +0800] "GET /wishstack-web/js/common/bootstrap.min.js?v=1462595626179 HTTP/1.1" 200 28669
0:0:0:0:0:0:0:1 - - [07/May/2016:12:33:46 +0800] "GET /wishstack-web/js/common/jquery.min.js?v=1462595626179 HTTP/1.1" 200 332641
0:0:0:0:0:0:0:1 - - [07/May/2016:12:33:46 +0800] "GET /wishstack-web/img/glyphicons-halflings-white.png HTTP/1.1" 200 4352
0:0:0:0:0:0:0:1 - - [07/May/2016:12:33:46 +0800] "GET /wishstack-web/img/furley_bg.png HTTP/1.1" 200 42976
0:0:0:0:0:0:0:1 - - [07/May/2016:12:33:46 +0800] "GET /wishstack-web/img/glyphicons-halflings.png HTTP/1.1" 200 4352
